Data	Pyra1_E100_F-20
Recipe	GS_CALIBRATION_V2
Site Name	
Points	4466
X-Resolution	0.200000
X-Coord	-3708.24
Y-Coord	-35488.25
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	  -8322.94	         0	   18109.9	   18109.9	   18109.9
2	  -8283.29	   39.6504	   18082.5	   18082.5	   18082.5
3	  -8323.64	 -0.704102	   18051.3	   18051.3	   18051.3
4	  -8434.31	  -111.373	   18024.5	   18024.5	   18024.5
5	  -8428.95	  -106.012	   18018.7	   18018.7	   18018.7
6	  -8344.61	   -21.667	   18033.2	   18033.2	   18033.2
7	   -8337.4	  -14.4609	     18051	     18051	     18051
8	  -8353.79	  -30.8496	   18062.2	   18062.2	   18062.2
9	  -8333.88	  -10.9385	   18064.9	   18064.9	   18064.9
10	  -8314.07	   8.86523	   18053.6	   18053.6	   18053.6
11	  -8366.56	   -43.623	   18026.4	   18026.4	   18026.4
12	  -8464.35	  -141.411	   17999.5	   17999.5	   17999.5
13	  -8480.04	  -157.103	   17996.9	   17996.9	   17996.9
14	  -8384.33	  -61.3926	   18020.4	   18020.4	   18020.4
15	   -8320.2	   2.73828	   18047.4	   18047.4	   18047.4
16	  -8358.26	  -35.3184	   18059.2	   18059.2	   18059.2
17	   -8361.8	  -38.8594	   18053.7	   18053.7	   18053.7
18	  -8349.56	  -26.6172	   18033.5	   18033.5	   18033.5
19	  -8422.89	  -99.9551	   18003.8	   18003.8	   18003.8
20	  -8495.63	  -172.687	   17981.2	   17981.2	   17981.2
21	  -8478.18	  -155.246	   17982.2	   17982.2	   17982.2
22	  -8413.66	  -90.7178	   18004.5	   18004.5	   18004.5
23	  -8384.06	   -61.124	   18031.1	   18031.1	   18031.1
24	  -8366.13	  -43.1924	   18045.6	   18045.6	   18045.6
25	  -8351.61	   -28.667	   18037.5	   18037.5	   18037.5
26	  -8403.47	  -80.5332	   18007.1	   18007.1	   18007.1
27	  -8507.53	  -184.587	   17972.8	   17972.8	   17972.8
28	  -8537.98	  -215.044	   17959.8	   17959.8	   17959.8
29	  -8462.65	  -139.714	   17974.5	   17974.5	   17974.5
30	  -8407.91	  -84.9727	   17999.6	   17999.6	   17999.6
31	   -8421.7	  -98.7637	   18017.6	   18017.6	   18017.6
32	  -8415.31	   -92.376	     18023	     18023	     18023
33	  -8388.85	  -65.9102	   18012.1	   18012.1	   18012.1
34	   -8441.5	  -118.559	   17984.8	   17984.8	   17984.8
35	  -8541.64	  -218.701	   17957.6	   17957.6	   17957.6
36	  -8552.78	  -229.844	   17953.8	   17953.8	   17953.8
37	  -8466.77	  -143.827	     17976	     17976	     17976
38	  -8405.63	  -82.6953	   18002.6	   18002.6	   18002.6
39	  -8425.17	  -102.231	   18014.8	   18014.8	   18014.8
40	  -8450.69	  -127.748	   18011.6	   18011.6	   18011.6
41	  -8433.79	  -110.849	   17997.5	   17997.5	   17997.5
42	  -8467.17	  -144.229	   17975.8	   17975.8	   17975.8
43	  -8544.04	  -221.098	   17957.5	   17957.5	   17957.5
44	  -8546.12	  -223.179	   17957.9	   17957.9	   17957.9
45	  -8471.19	  -148.248	   17976.2	   17976.2	   17976.2
46	  -8433.19	  -110.248	     17995	     17995	     17995
47	  -8463.38	  -140.437	   18001.2	   18001.2	   18001.2
48	  -8467.04	  -144.097	   17995.1	   17995.1	   17995.1
49	  -8465.81	  -142.868	     17980	     17980	     17980
50	  -8515.67	  -192.729	   17961.6	   17961.6	   17961.6
51	  -8561.07	  -238.132	   17953.2	   17953.2	   17953.2
52	  -8536.99	  -214.054	   17965.6	   17965.6	   17965.6
53	  -8461.22	  -138.278	   17990.8	   17990.8	   17990.8
54	  -8424.62	  -101.681	   18008.7	   18008.7	   18008.7
55	  -8460.44	    -137.5	   18008.2	   18008.2	   18008.2
56	  -8493.29	  -170.348	   17995.2	   17995.2	   17995.2
57	  -8494.63	  -171.695	   17981.1	   17981.1	   17981.1
58	  -8525.14	  -202.199	   17974.4	   17974.4	   17974.4
59	  -8536.46	  -213.522	   17982.2	   17982.2	   17982.2
60	  -8476.18	   -153.24	   18002.5	   18002.5	   18002.5
61	  -8429.66	  -106.719	   18021.6	   18021.6	   18021.6
62	  -8447.83	  -124.896	   18026.6	   18026.6	   18026.6
63	  -8466.22	  -143.283	     18016	     18016	     18016
