Data	Line5_E80_F-20
Recipe	GS_CALIBRATION_POLYTEC
Site Name	
Points	4466
X-Resolution	0.200000
X-Coord	-37873.34
Y-Coord	-9822.52
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	  -7846.41	         0	   21.7551	   21.7551	   21.7551
2	  -7841.56	   4.84424	   20.7581	   20.7581	   20.7581
3	  -7847.48	  -1.06689	   19.4888	   19.4888	   19.4888
4	  -7854.83	  -8.42285	    16.976	    16.976	    16.976
5	  -7862.38	  -15.9683	   14.0045	   14.0045	   14.0045
6	  -7871.55	   -25.145	   12.2118	   12.2118	   12.2118
7	  -7871.79	  -25.3818	   12.5251	   12.5251	   12.5251
8	  -7869.57	   -23.165	   14.2528	   14.2528	   14.2528
9	  -7872.16	  -25.7471	   15.8617	   15.8617	   15.8617
10	  -7873.85	  -27.4414	   16.1919	   16.1919	   16.1919
11	  -7877.78	  -31.3706	   14.7181	   14.7181	   14.7181
12	  -7886.57	  -40.1641	   11.7252	   11.7252	   11.7252
13	  -7895.64	  -49.2319	   8.48229	   8.48229	   8.48229
14	  -7901.96	  -55.5513	   6.41221	   6.41221	   6.41221
15	  -7903.18	  -56.7749	   5.77812	   5.77812	   5.77812
16	  -7903.76	  -57.3477	   5.53418	   5.53418	   5.53418
17	  -7909.45	  -63.0391	   4.81846	   4.81846	   4.81846
18	  -7917.12	  -70.7139	   4.26805	   4.26805	   4.26805
19	  -7920.45	  -74.0415	    5.1098	    5.1098	    5.1098
20	  -7916.29	  -69.8818	   6.93972	   6.93972	   6.93972
21	  -7913.79	  -67.3789	   7.44202	   7.44202	   7.44202
22	  -7923.87	  -77.4653	   4.99082	   4.99082	   4.99082
23	  -7937.29	  -90.8779	  0.446606	  0.446606	  0.446606
24	  -7942.22	  -95.8115	  -4.55954	  -4.55954	  -4.55954
25	   -7949.2	  -102.791	  -9.64401	  -9.64401	  -9.64401
26	  -7960.35	  -113.945	  -14.9314	  -14.9314	  -14.9314
27	  -7969.04	  -122.634	  -19.7042	  -19.7042	  -19.7042
28	  -7978.15	  -131.745	  -22.5953	  -22.5953	  -22.5953
29	  -7981.59	  -135.182	  -22.8934	  -22.8934	  -22.8934
30	  -7975.99	   -129.58	  -21.7193	  -21.7193	  -21.7193
31	  -7978.02	   -131.61	  -20.9827	  -20.9827	  -20.9827
32	  -7990.41	  -144.002	  -20.9936	  -20.9936	  -20.9936
33	  -7988.26	   -141.85	  -21.0491	  -21.0491	  -21.0491
