Data	Line2_E80_F-20
Recipe	GS_CALIBRATION_POLYTEC
Site Name	
Points	4466
X-Resolution	0.200000
X-Coord	-37869.50
Y-Coord	-9524.85
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	  -6580.91	         0	   15.1153	   15.1153	   15.1153
2	  -6576.29	     4.625	    16.074	    16.074	    16.074
3	  -6577.62	   3.29443	   16.7516	   16.7516	   16.7516
4	  -6586.32	  -5.40381	   16.4509	   16.4509	   16.4509
5	  -6589.54	  -8.62354	   15.8451	   15.8451	   15.8451
6	   -6592.2	  -11.2881	   15.5627	   15.5627	   15.5627
7	  -6595.59	  -14.6782	   15.4306	   15.4306	   15.4306
8	  -6598.44	  -17.5249	   14.9032	   14.9032	   14.9032
9	  -6602.33	  -21.4121	   13.4916	   13.4916	   13.4916
10	  -6610.05	  -29.1387	    11.004	    11.004	    11.004
11	   -6615.5	  -34.5903	   7.41578	   7.41578	   7.41578
12	  -6622.03	  -41.1138	    2.8859	    2.8859	    2.8859
13	  -6636.11	  -55.1987	  -1.26325	  -1.26325	  -1.26325
14	  -6645.94	  -65.0259	  -2.69761	  -2.69761	  -2.69761
15	  -6638.05	  -57.1367	 -0.935802	 -0.935802	 -0.935802
16	  -6632.59	  -51.6782	   1.34563	   1.34563	   1.34563
17	  -6640.48	  -59.5635	   1.58853	   1.58853	   1.58853
18	  -6649.63	  -68.7114	  0.215812	  0.215812	  0.215812
19	  -6654.11	  -73.1948	  -1.06899	  -1.06899	  -1.06899
20	  -6653.18	  -72.2632	  -2.09598	  -2.09598	  -2.09598
21	  -6658.22	  -77.3071	  -3.82615	  -3.82615	  -3.82615
22	  -6669.71	  -88.7954	  -6.03048	  -6.03048	  -6.03048
23	  -6675.06	   -94.147	  -7.29571	  -7.29571	  -7.29571
24	  -6673.23	   -92.311	  -7.37285	  -7.37285	  -7.37285
25	  -6674.28	  -93.3652	   -7.6777	   -7.6777	   -7.6777
26	  -6682.91	  -101.998	  -9.03974	  -9.03974	  -9.03974
27	  -6690.99	  -110.072	  -10.5598	  -10.5598	  -10.5598
28	  -6693.01	  -112.093	  -11.4947	  -11.4947	  -11.4947
