Data	Line1_E80_F-20
Recipe	GS_CALIBRATION_POLYTEC
Site Name	
Points	4466
X-Resolution	0.200000
X-Coord	-37870.78
Y-Coord	-9462.39
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	  -6064.58	         0	   20.8044	   20.8044	   20.8044
2	  -6074.52	  -9.93701	   16.3998	   16.3998	   16.3998
3	  -6088.36	  -23.7749	   12.0822	   12.0822	   12.0822
4	  -6090.62	  -26.0322	    9.3502	    9.3502	    9.3502
5	  -6092.79	  -28.2065	   8.28475	   8.28475	   8.28475
6	  -6098.79	   -34.209	   8.17793	   8.17793	   8.17793
7	  -6099.65	  -35.0649	    8.3828	    8.3828	    8.3828
8	  -6100.24	  -35.6514	   8.03707	   8.03707	   8.03707
9	  -6107.12	  -42.5337	   6.61665	   6.61665	   6.61665
10	  -6116.38	  -51.7974	   4.81966	   4.81966	   4.81966
11	  -6118.91	  -54.3237	   3.55605	   3.55605	   3.55605
12	  -6118.51	  -53.9287	   2.64561	   2.64561	   2.64561
13	   -6127.7	  -63.1108	   1.89688	   1.89688	   1.89688
14	  -6134.74	  -70.1567	   2.14618	   2.14618	   2.14618
15	  -6128.34	   -63.751	   3.42394	   3.42394	   3.42394
16	  -6128.46	   -63.873	   3.86737	   3.86737	   3.86737
17	   -6137.3	  -72.7188	   2.17999	   2.17999	   2.17999
18	   -6148.2	  -83.6113	 -0.522755	 -0.522755	 -0.522755
19	  -6151.74	  -87.1533	  -2.32568	  -2.32568	  -2.32568
20	  -6153.88	   -89.292	  -2.58017	  -2.58017	  -2.58017
21	  -6157.14	  -92.5537	  -2.01086	  -2.01086	  -2.01086
22	  -6155.03	  -90.4458	  -2.06112	  -2.06112	  -2.06112
23	  -6161.39	  -96.8062	  -3.95689	  -3.95689	  -3.95689
24	  -6172.54	  -107.951	   -7.4025	   -7.4025	   -7.4025
25	  -6179.89	   -115.31	  -10.6606	  -10.6606	  -10.6606
26	  -6186.56	  -121.979	  -12.1222	  -12.1222	  -12.1222
27	  -6185.23	  -120.649	  -11.3766	  -11.3766	  -11.3766
28	  -6187.31	  -122.724	  -8.92267	  -8.92267	  -8.92267
29	  -6187.09	  -122.509	  -5.55998	  -5.55998	  -5.55998
30	   -6182.4	  -117.819	  -2.67505	  -2.67505	  -2.67505
31	  -6183.28	  -118.699	  -2.05576	  -2.05576	  -2.05576
32	  -6192.78	  -128.198	  -4.17904	  -4.17904	  -4.17904
33	  -6204.09	  -139.502	  -7.48944	  -7.48944	  -7.48944
34	  -6208.04	  -143.451	  -10.2618	  -10.2618	  -10.2618
35	   -6210.2	  -145.618	  -12.3164	  -12.3164	  -12.3164
36	  -6217.81	   -153.23	  -14.1918	  -14.1918	  -14.1918
37	  -6223.39	  -158.804	   -15.728	   -15.728	   -15.728
38	  -6227.37	   -162.79	  -16.2275	  -16.2275	  -16.2275
39	   -6230.6	  -166.012	  -15.3316	  -15.3316	  -15.3316
40	   -6228.3	  -163.718	   -13.526	   -13.526	   -13.526
41	  -6230.11	  -165.528	  -11.9999	  -11.9999	  -11.9999
42	  -6232.06	  -167.472	   -11.983	   -11.983	   -11.983
43	  -6235.45	  -170.861	  -13.8699	  -13.8699	  -13.8699
44	  -6250.34	  -185.759	  -16.2347	  -16.2347	  -16.2347
45	  -6256.27	   -191.69	  -16.6936	  -16.6936	  -16.6936
46	  -6247.46	  -182.874	  -15.0781	  -15.0781	  -15.0781
47	  -6247.83	  -183.246	  -14.1156	  -14.1156	  -14.1156
48	  -6254.11	  -189.521	   -16.066	   -16.066	   -16.066
49	  -6267.16	  -202.576	   -20.246	   -20.246	   -20.246
50	  -6277.89	  -213.307	  -24.1928	  -24.1928	  -24.1928
51	  -6278.55	  -213.966	  -26.3887	  -26.3887	  -26.3887
52	  -6282.82	  -218.235	  -27.2102	  -27.2102	  -27.2102
53	  -6285.87	  -221.284	   -27.726	   -27.726	   -27.726
54	  -6288.93	   -224.35	  -28.6938	  -28.6938	  -28.6938
55	  -6294.91	  -230.327	  -30.2648	  -30.2648	  -30.2648
56	  -6302.04	  -237.452	  -31.9008	  -31.9008	  -31.9008
57	  -6305.82	  -241.235	   -32.991	   -32.991	   -32.991
58	  -6306.99	  -242.406	  -33.5905	  -33.5905	  -33.5905
59	  -6312.81	  -248.221	  -34.0159	  -34.0159	  -34.0159
60	  -6317.05	  -252.462	  -34.1592	  -34.1592	  -34.1592
61	  -6318.28	  -253.695	  -33.8891	  -33.8891	  -33.8891
62	     -6321	  -256.413	  -33.5704	  -33.5704	  -33.5704
63	  -6323.69	  -259.109	  -33.7063	  -33.7063	  -33.7063
64	  -6328.65	  -264.066	  -34.3635	  -34.3635	  -34.3635
65	  -6334.38	  -269.799	   -35.134	   -35.134	   -35.134
66	  -6336.15	  -271.565	  -35.6484	  -35.6484	  -35.6484
67	   -6340.1	  -275.514	  -35.7266	  -35.7266	  -35.7266
68	  -6345.95	  -281.364	  -35.0647	  -35.0647	  -35.0647
69	  -6344.06	  -279.477	  -33.8398	  -33.8398	  -33.8398
70	  -6342.17	  -277.587	  -33.3001	  -33.3001	  -33.3001
71	  -6351.34	  -286.758	  -34.2775	  -34.2775	  -34.2775
72	  -6359.73	   -295.15	  -35.8711	  -35.8711	  -35.8711
73	  -6360.95	  -296.362	  -36.8613	  -36.8613	  -36.8613
74	  -6363.39	  -298.807	  -37.1846	  -37.1846	  -37.1846
75	   -6369.2	  -304.612	  -37.3355	  -37.3355	  -37.3355
76	  -6369.77	  -305.188	  -37.7597	  -37.7597	  -37.7597
77	  -6373.78	  -309.197	  -38.8908	  -38.8908	  -38.8908
78	   -6382.4	  -317.811	  -40.6623	  -40.6623	  -40.6623
79	   -6386.2	  -321.615	  -42.4315	  -42.4315	  -42.4315
80	   -6390.9	   -326.32	   -43.683	   -43.683	   -43.683
81	  -6396.01	  -331.429	  -44.3009	  -44.3009	  -44.3009
82	  -6396.65	  -332.068	  -44.5925	  -44.5925	  -44.5925
83	  -6400.52	  -335.933	  -45.1984	  -45.1984	  -45.1984
84	  -6406.27	  -341.686	  -46.6013	  -46.6013	  -46.6013
