Data	Line4_E80_F-20
Recipe	GS_CALIBRATION_POLYTEC
Site Name	
Points	4466
X-Resolution	0.200000
X-Coord	-37877.17
Y-Coord	-9749.43
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
88	  -6698.77	  -378.989	  -76.7672	  -76.7672	  -76.7672
89	  -6698.34	  -378.561	  -77.3725	  -77.3725	  -77.3725
90	  -6695.07	  -375.293	  -76.4864	  -76.4864	  -76.4864
91	   -6697.7	  -377.922	  -76.3611	  -76.3611	  -76.3611
92	  -6707.25	  -387.471	  -77.5636	  -77.5636	  -77.5636
93	  -6713.35	  -393.568	  -79.0024	  -79.0024	  -79.0024
94	   -6712.9	  -393.118	  -80.1677	  -80.1677	  -80.1677
95	  -6718.23	  -398.451	  -81.6147	  -81.6147	  -81.6147
96	  -6726.07	  -406.294	  -83.2703	  -83.2703	  -83.2703
97	  -6732.85	  -413.069	  -83.9563	  -83.9563	  -83.9563
98	  -6732.11	  -412.333	  -83.0385	  -83.0385	  -83.0385
99	  -6729.72	  -409.939	  -81.4315	  -81.4315	  -81.4315
100	  -6734.58	  -414.803	  -80.3277	  -80.3277	  -80.3277
101	  -6738.81	  -419.027	   -79.996	   -79.996	   -79.996
102	  -6739.15	  -419.373	  -80.5794	  -80.5794	  -80.5794
103	  -6743.99	  -424.213	  -82.7442	  -82.7442	  -82.7442
104	  -6753.63	  -433.854	  -86.6953	  -86.6953	  -86.6953
105	  -6763.47	  -443.689	  -91.4837	  -91.4837	  -91.4837
106	  -6772.54	  -452.756	  -95.8037	  -95.8037	  -95.8037
107	   -6777.1	   -457.32	  -99.1996	  -99.1996	  -99.1996
108	  -6781.57	  -461.788	  -102.346	  -102.346	  -102.346
109	  -6788.68	  -468.901	  -106.049	  -106.049	  -106.049
110	  -6798.74	  -478.957	  -110.083	  -110.083	  -110.083
111	  -6807.61	  -487.833	  -113.437	  -113.437	  -113.437
112	  -6808.81	  -489.034	  -115.641	  -115.641	  -115.641
113	  -6813.74	   -493.96	  -116.922	  -116.922	  -116.922
114	  -6822.41	  -502.628	  -117.015	  -117.015	  -117.015
115	   -6820.7	  -500.917	  -115.539	  -115.539	  -115.539
116	   -6817.7	  -497.919	  -113.567	  -113.567	  -113.567
117	  -6819.08	  -499.302	  -113.045	  -113.045	  -113.045
118	  -6827.45	  -507.667	  -114.559	  -114.559	  -114.559
119	  -6837.33	  -517.548	  -116.852	  -116.852	  -116.852
120	  -6838.45	  -518.669	  -118.748	  -118.748	  -118.748
121	  -6842.67	  -522.893	  -120.509	  -120.509	  -120.509
122	  -6848.39	  -528.612	  -122.871	  -122.871	  -122.871
123	  -6856.22	  -536.435	  -125.687	  -125.687	  -125.687
124	  -6864.39	  -544.614	   -127.98	   -127.98	   -127.98
125	  -6866.87	  -547.088	  -129.143	  -129.143	  -129.143
126	  -6867.68	  -547.901	  -129.732	  -129.732	  -129.732
127	  -6872.61	  -552.828	  -130.521	  -130.521	  -130.521
128	  -6881.01	  -561.229	  -131.229	  -131.229	  -131.229
129	  -6882.01	  -562.231	  -131.227	  -131.227	  -131.227
130	  -6881.52	  -561.741	   -131.13	   -131.13	   -131.13
131	  -6885.35	  -565.575	  -132.383	  -132.383	  -132.383
132	  -6893.35	  -573.568	  -135.252	  -135.252	  -135.252
133	  -6906.87	  -587.085	  -138.084	  -138.084	  -138.084
134	  -6908.19	  -588.412	  -139.312	  -139.312	  -139.312
135	  -6903.82	  -584.043	   -139.53	   -139.53	   -139.53
136	     -6913	  -593.215	  -139.903	  -139.903	  -139.903
137	  -6921.31	  -601.529	  -139.694	  -139.694	  -139.694
138	  -6918.71	  -598.927	  -137.598	  -137.598	  -137.598
139	  -6914.73	  -594.952	  -134.021	  -134.021	  -134.021
140	   -6915.8	   -596.02	  -130.284	  -130.284	  -130.284
141	  -6916.91	   -597.13	  -127.221	  -127.221	  -127.221
142	  -6913.97	   -594.19	   -125.84	   -125.84	   -125.84
143	  -6916.52	   -596.74	  -127.684	  -127.684	  -127.684
144	  -6930.15	  -610.372	  -132.977	  -132.977	  -132.977
145	  -6946.48	  -626.705	  -139.414	  -139.414	  -139.414
146	  -6954.31	   -634.53	   -144.19	   -144.19	   -144.19
147	  -6954.62	  -634.838	  -146.651	  -146.651	  -146.651
148	  -6959.62	  -639.835	  -147.885	  -147.885	  -147.885
149	  -6966.04	  -646.264	  -148.618	  -148.618	  -148.618
150	  -6967.36	  -647.582	  -148.843	  -148.843	  -148.843
151	   -6970.9	   -651.12	  -148.678	  -148.678	  -148.678
152	  -6973.39	  -653.611	  -148.499	  -148.499	  -148.499
153	  -6975.99	  -656.213	  -148.646	  -148.646	  -148.646
154	  -6982.06	  -662.278	  -149.383	  -149.383	  -149.383
155	  -6982.75	  -662.965	  -151.158	  -151.158	  -151.158
156	  -6990.69	  -670.914	  -154.259	  -154.259	  -154.259
157	  -7002.56	  -682.779	  -157.698	  -157.698	  -157.698
158	  -7008.85	  -689.067	  -159.496	  -159.496	  -159.496
159	  -7009.99	  -690.208	  -158.751	  -158.751	  -158.751
160	   -7004.8	  -685.016	  -156.828	  -156.828	  -156.828
161	  -7006.82	  -687.036	  -155.952	  -155.952	  -155.952
162	  -7015.86	  -696.081	   -157.02	   -157.02	   -157.02
163	  -7019.14	  -699.355	  -159.522	  -159.522	  -159.522
164	  -7026.76	  -706.976	  -162.727	  -162.727	  -162.727
165	  -7036.53	   -716.75	   -165.86	   -165.86	   -165.86
166	   -7039.6	  -719.816	  -168.237	  -168.237	  -168.237
167	   -7044.7	  -724.921	  -169.683	  -169.683	  -169.683
168	  -7049.96	   -730.18	  -170.244	  -170.244	  -170.244
169	  -7050.91	   -731.13	  -170.044	  -170.044	  -170.044
170	  -7053.71	  -733.925	   -169.47	   -169.47	   -169.47
171	  -7055.82	  -736.042	   -168.89	   -168.89	   -168.89
172	  -7060.83	  -741.055	  -168.533	  -168.533	  -168.533
173	  -7060.49	   -740.71	  -169.309	  -169.309	  -169.309
174	  -7061.73	  -741.949	  -172.914	  -172.914	  -172.914
175	   -7080.1	  -760.317	  -179.408	  -179.408	  -179.408
176	   -7098.8	  -779.017	  -185.641	  -185.641	  -185.641
177	  -7100.91	  -781.134	  -188.376	  -188.376	  -188.376
178	  -7095.89	  -776.109	  -187.922	  -187.922	  -187.922
179	  -7098.97	   -779.19	  -186.961	  -186.961	  -186.961
180	  -7103.17	  -783.387	  -187.439	  -187.439	  -187.439
181	  -7107.12	  -787.339	  -189.937	  -189.937	  -189.937
182	  -7116.87	  -797.094	  -194.221	  -194.221	  -194.221
183	  -7127.86	   -808.08	  -199.283	  -199.283	  -199.283
184	   -7135.6	  -815.822	  -203.808	  -203.808	  -203.808
185	  -7142.31	  -822.528	  -206.983	  -206.983	  -206.983
186	  -7147.25	  -827.473	  -208.789	  -208.789	  -208.789
187	   -7148.7	  -828.915	  -209.915	  -209.915	  -209.915
188	  -7153.06	  -833.284	  -211.111	  -211.111	  -211.111
189	  -7161.39	  -841.609	  -212.206	  -212.206	  -212.206
190	  -7165.24	  -845.464	  -212.526	  -212.526	  -212.526
191	  -7162.27	  -842.487	  -212.494	  -212.494	  -212.494
192	  -7166.94	  -847.158	  -213.399	  -213.399	  -213.399
193	  -7177.23	  -857.454	  -215.526	  -215.526	  -215.526
194	  -7181.04	  -861.256	  -218.106	  -218.106	  -218.106
195	  -7186.12	  -866.338	  -220.636	  -220.636	  -220.636
196	  -7194.07	  -874.292	  -222.815	  -222.815	  -222.815
197	  -7199.21	  -879.426	  -224.022	  -224.022	  -224.022
198	   -7201.5	  -881.717	  -223.997	  -223.997	  -223.997
199	  -7201.28	    -881.5	  -223.622	  -223.622	  -223.622
200	  -7203.82	  -884.041	  -224.542	  -224.542	  -224.542
201	  -7210.36	  -890.584	   -227.85	   -227.85	   -227.85
202	   -7222.5	  -902.717	  -232.942	  -232.942	  -232.942
203	   -7235.5	  -915.719	  -237.794	  -237.794	  -237.794
204	  -7237.97	  -918.186	  -240.811	  -240.811	  -240.811
205	  -7241.68	  -921.901	  -242.056	  -242.056	  -242.056
206	  -7245.05	  -925.268	  -242.425	  -242.425	  -242.425
207	  -7248.15	  -928.372	   -242.57	   -242.57	   -242.57
208	  -7252.11	  -932.326	  -242.944	  -242.944	  -242.944
209	  -7253.54	  -933.758	  -244.248	  -244.248	  -244.248
210	  -7260.41	  -940.633	  -247.147	  -247.147	  -247.147
211	  -7270.31	  -950.525	  -251.332	  -251.332	  -251.332
212	  -7280.52	  -960.739	  -255.456	  -255.456	  -255.456
213	  -7286.01	  -966.229	  -258.491	  -258.491	  -258.491
214	  -7286.52	  -966.744	  -260.762	  -260.762	  -260.762
215	  -7296.18	    -976.4	  -263.144	  -263.144	  -263.144
216	  -7300.65	  -980.868	  -265.898	  -265.898	  -265.898
217	  -7306.29	  -986.513	  -268.598	  -268.598	  -268.598
218	  -7317.55	  -997.767	  -270.214	  -270.214	  -270.214
219	  -7317.04	  -997.259	  -269.913	  -269.913	  -269.913
220	  -7314.01	  -994.229	  -268.272	  -268.272	  -268.272
221	  -7318.93	  -999.151	  -266.481	  -266.481	  -266.481
222	   -7319.8	  -1000.02	  -264.899	  -264.899	  -264.899
223	  -7322.14	  -1002.36	  -263.426	  -263.426	  -263.426
