Data	Pyra1_E80_F-20
Recipe	GS_CALIBRATION_POLYTEC
Site Name	
Points	4466
X-Resolution	0.200000
X-Coord	-37870.78
Y-Coord	-9891.62
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	  -7573.75	         0	   10.8437	   10.8437	   10.8437
2	  -7584.05	  -10.3076	   10.7756	   10.7756	   10.7756
3	  -7587.93	   -14.188	   10.9266	   10.9266	   10.9266
4	  -7587.32	  -13.5776	   12.4948	   12.4948	   12.4948
5	  -7587.86	  -14.1133	   15.3848	   15.3848	   15.3848
6	  -7587.42	  -13.6719	   18.7493	   18.7493	   18.7493
7	   -7583.7	  -9.95117	   21.3292	   21.3292	   21.3292
8	  -7587.39	  -13.6426	   21.9806	   21.9806	   21.9806
9	   -7594.7	  -20.9541	   20.7254	   20.7254	   20.7254
10	   -7600.8	  -27.0488	   18.7516	   18.7516	   18.7516
11	  -7606.99	  -33.2441	   17.2959	   17.2959	   17.2959
12	  -7609.44	  -35.6919	    16.615	    16.615	    16.615
13	  -7609.64	  -35.8901	    15.713	    15.713	    15.713
14	   -7615.8	  -42.0552	   13.4022	   13.4022	   13.4022
15	   -7626.3	  -52.5493	   9.85521	   9.85521	   9.85521
16	  -7635.18	  -61.4297	   6.45325	   6.45325	   6.45325
17	  -7638.33	  -64.5811	   3.94392	   3.94392	   3.94392
18	  -7639.97	  -66.2275	   1.62888	   1.62888	   1.62888
19	  -7650.26	  -76.5151	  -1.19388	  -1.19388	  -1.19388
20	  -7657.93	  -84.1851	   -4.1006	   -4.1006	   -4.1006
21	   -7660.6	  -86.8525	  -6.43075	  -6.43075	  -6.43075
22	  -7667.37	  -93.6265	  -7.92466	  -7.92466	  -7.92466
23	  -7672.87	  -99.1235	  -8.34669	  -8.34669	  -8.34669
24	  -7671.73	  -97.9819	   -7.8981	   -7.8981	   -7.8981
25	  -7673.14	  -99.3936	  -7.60789	  -7.60789	  -7.60789
26	  -7679.21	  -105.462	  -8.38843	  -8.38843	  -8.38843
27	  -7684.19	  -110.446	   -10.423	   -10.423	   -10.423
28	  -7688.91	  -115.159	  -13.5324	  -13.5324	  -13.5324
29	  -7700.14	  -126.391	  -17.0478	  -17.0478	  -17.0478
30	  -7707.69	  -133.938	  -19.7955	  -19.7955	  -19.7955
31	  -7708.31	  -134.564	   -21.232	   -21.232	   -21.232
32	   -7713.3	  -139.552	  -21.9204	  -21.9204	  -21.9204
33	     -7716	   -142.25	  -22.5896	  -22.5896	  -22.5896
34	  -7720.45	  -146.705	  -23.2739	  -23.2739	  -23.2739
35	  -7728.24	  -154.492	  -23.2119	  -23.2119	  -23.2119
36	  -7727.32	  -153.574	  -21.9513	  -21.9513	  -21.9513
37	   -7723.5	   -149.75	  -20.6343	  -20.6343	  -20.6343
38	  -7728.95	  -155.208	  -21.0544	  -21.0544	  -21.0544
39	  -7736.39	  -162.644	  -23.6352	  -23.6352	  -23.6352
40	  -7745.59	  -171.841	  -27.1576	  -27.1576	  -27.1576
41	  -7753.41	  -179.665	  -29.9005	  -29.9005	  -29.9005
42	  -7757.14	  -183.393	  -30.7757	  -30.7757	  -30.7757
43	  -7757.81	   -184.06	  -29.9774	  -29.9774	  -29.9774
44	  -7756.95	  -183.202	  -28.8354	  -28.8354	  -28.8354
45	  -7760.11	  -186.365	  -28.8977	  -28.8977	  -28.8977
46	  -7765.38	  -191.629	  -30.9461	  -30.9461	  -30.9461
47	  -7774.45	    -200.7	  -34.6073	  -34.6073	  -34.6073
48	  -7783.64	  -209.895	  -38.5702	  -38.5702	  -38.5702
49	  -7791.45	  -217.708	  -41.3364	  -41.3364	  -41.3364
50	  -7794.64	  -220.896	  -42.3618	  -42.3618	  -42.3618
51	  -7792.53	  -218.786	  -42.6138	  -42.6138	  -42.6138
52	   -7798.7	  -224.954	  -43.3374	  -43.3374	  -43.3374
53	  -7807.14	   -233.39	  -44.4137	  -44.4137	  -44.4137
54	  -7808.73	  -234.982	  -44.8514	  -44.8514	  -44.8514
55	  -7811.46	  -237.717	  -44.1642	  -44.1642	  -44.1642
