Data	Line4_E100_F-20
Recipe	GS_CALIBRATION_POLYTEC
Site Name	
Points	4466
X-Resolution	0.200000
X-Coord	-37873.34
Y-Coord	-8622.52
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	  -5929.06	         0	   6.69375	   6.69375	   6.69375
2	  -5930.37	   -1.3125	   7.36098	   7.36098	   7.36098
3	  -5932.52	   -3.4624	   8.04704	   8.04704	   8.04704
4	   -5933.7	  -4.64063	   8.16676	   8.16676	   8.16676
5	  -5941.55	  -12.4907	   7.87939	   7.87939	   7.87939
6	  -5946.05	  -16.9927	   8.00009	   8.00009	   8.00009
7	  -5943.32	  -14.2681	   8.64677	   8.64677	   8.64677
8	  -5948.09	  -19.0391	   8.92206	   8.92206	   8.92206
9	  -5951.28	   -22.228	   8.11656	   8.11656	   8.11656
10	  -5957.66	  -28.6055	   6.36388	   6.36388	   6.36388
11	  -5965.55	  -36.4932	   4.24412	   4.24412	   4.24412
12	  -5966.92	  -37.8618	   2.07892	   2.07892	   2.07892
13	  -5974.44	  -45.3833	  0.144831	  0.144831	  0.144831
14	   -5985.1	  -56.0396	  -0.61869	  -0.61869	  -0.61869
15	  -5979.97	  -50.9175	  0.156898	  0.156898	  0.156898
16	  -5979.19	  -50.1353	  0.899053	  0.899053	  0.899053
17	  -5985.44	  -56.3813	-0.0702598	-0.0702598	-0.0702598
18	  -5994.87	  -65.8184	  -2.12521	  -2.12521	  -2.12521
19	  -6003.95	  -74.8901	  -2.97505	  -2.97505	  -2.97505
20	  -6000.56	  -71.5059	  -1.45123	  -1.45123	  -1.45123
21	  -5995.98	  -66.9258	   1.21029	   1.21029	   1.21029
22	  -6001.47	  -72.4116	   3.20831	   3.20831	   3.20831
23	  -6002.67	  -73.6147	   3.83597	   3.83597	   3.83597
24	  -6005.66	   -76.605	   2.84105	   2.84105	   2.84105
25	  -6012.47	   -83.417	 -0.034449	 -0.034449	 -0.034449
26	  -6021.06	  -92.0054	  -4.23011	  -4.23011	  -4.23011
27	  -6034.63	  -105.579	  -7.95439	  -7.95439	  -7.95439
28	  -6037.47	  -108.417	  -9.50225	  -9.50225	  -9.50225
29	   -6036.1	  -107.046	  -9.05599	  -9.05599	  -9.05599
30	  -6037.22	  -108.165	  -8.25071	  -8.25071	  -8.25071
31	  -6041.96	  -112.906	  -7.98958	  -7.98958	  -7.98958
32	  -6049.68	  -120.623	  -7.69639	  -7.69639	  -7.69639
33	  -6047.34	  -118.289	  -7.04258	  -7.04258	  -7.04258
34	  -6046.13	  -117.072	  -7.17057	  -7.17057	  -7.17057
35	   -6057.1	  -128.044	   -8.9978	   -8.9978	   -8.9978
36	  -6064.86	  -135.801	  -11.6515	  -11.6515	  -11.6515
37	  -6069.41	  -140.351	  -13.6586	  -13.6586	  -13.6586
38	  -6074.16	  -145.104	  -14.3736	  -14.3736	  -14.3736
39	   -6075.7	  -146.647	  -13.9852	  -13.9852	  -13.9852
40	  -6077.19	  -148.134	  -13.1375	  -13.1375	  -13.1375
41	  -6079.93	  -150.874	  -12.6597	  -12.6597	  -12.6597
42	  -6082.22	  -153.166	  -13.4027	  -13.4027	  -13.4027
43	  -6087.38	   -158.32	   -15.838	   -15.838	   -15.838
44	  -6099.15	  -170.097	  -19.3054	  -19.3054	  -19.3054
45	  -6107.74	  -178.688	  -22.5106	  -22.5106	  -22.5106
46	  -6106.15	  -177.089	  -25.4705	  -25.4705	  -25.4705
47	  -6113.48	  -184.427	  -29.3959	  -29.3959	  -29.3959
48	     -6129	  -199.942	  -33.9866	  -33.9866	  -33.9866
49	  -6137.55	  -208.498	  -36.9905	  -36.9905	  -36.9905
50	  -6137.24	  -208.183	  -37.0538	  -37.0538	  -37.0538
51	  -6134.98	  -205.919	  -35.3331	  -35.3331	  -35.3331
52	  -6136.25	  -207.195	  -34.0879	  -34.0879	  -34.0879
53	  -6139.67	  -210.611	  -34.7221	  -34.7221	  -34.7221
54	  -6148.39	  -219.335	  -37.0714	  -37.0714	  -37.0714
55	  -6156.74	  -227.681	  -39.9376	  -39.9376	  -39.9376
56	  -6160.05	  -230.995	  -42.2173	  -42.2173	  -42.2173
57	  -6167.61	  -238.553	  -43.4527	  -43.4527	  -43.4527
58	  -6168.75	  -239.689	  -43.9024	  -43.9024	  -43.9024
59	  -6169.46	  -240.407	  -44.7326	  -44.7326	  -44.7326
60	  -6175.96	  -246.906	  -47.3115	  -47.3115	  -47.3115
61	  -6184.77	  -255.714	  -51.7278	  -51.7278	  -51.7278
62	  -6198.53	   -269.47	   -56.219	   -56.219	   -56.219
63	  -6205.54	  -276.486	  -58.3678	  -58.3678	  -58.3678
64	  -6204.14	  -275.089	  -57.2308	  -57.2308	  -57.2308
65	  -6201.62	  -272.568	  -54.1488	  -54.1488	  -54.1488
66	  -6198.72	   -269.66	  -51.3801	  -51.3801	  -51.3801
67	  -6203.88	   -274.82	  -50.0887	  -50.0887	  -50.0887
68	  -6210.53	  -281.476	  -49.8756	  -49.8756	  -49.8756
69	  -6208.81	   -279.75	  -50.4077	  -50.4077	  -50.4077
