Data	Line3_E80_F-20
Recipe	GS_CALIBRATION_POLYTEC
Site Name	
Points	4466
X-Resolution	0.200000
X-Coord	-37877.17
Y-Coord	-9599.26
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	  -7246.43	         0	   4.27122	   4.27122	   4.27122
2	  -7266.76	  -20.3267	   3.02387	   3.02387	   3.02387
3	   -7275.2	  -28.7734	   2.33222	   2.33222	   2.33222
4	  -7267.88	  -21.4526	   4.35758	   4.35758	   4.35758
5	  -7262.29	  -15.8628	   7.30017	   7.30017	   7.30017
6	  -7267.66	  -21.2275	   8.69514	   8.69514	   8.69514
7	  -7275.92	  -29.4927	   8.57681	   8.57681	   8.57681
8	  -7277.64	  -31.2124	   7.90545	   7.90545	   7.90545
9	  -7275.87	  -29.4438	   6.30808	   6.30808	   6.30808
10	  -7288.75	  -42.3179	   3.51416	   3.51416	   3.51416
11	  -7301.07	  -54.6406	     1.251	     1.251	     1.251
12	  -7298.69	  -52.2642	   1.10275	   1.10275	   1.10275
13	  -7295.01	  -48.5845	   2.09274	   2.09274	   2.09274
14	  -7301.76	  -55.3354	     2.614	     2.614	     2.614
15	  -7308.98	  -62.5547	   2.99488	   2.99488	   2.99488
16	  -7307.98	  -61.5479	   4.47978	   4.47978	   4.47978
17	  -7308.43	  -61.9976	   7.23516	   7.23516	   7.23516
18	  -7306.53	  -60.0981	   10.3474	   10.3474	   10.3474
19	  -7305.93	  -59.4976	   12.9042	   12.9042	   12.9042
20	  -7312.03	  -65.5962	   14.6468	   14.6468	   14.6468
21	  -7311.19	  -64.7583	   15.0191	   15.0191	   15.0191
22	  -7307.73	  -61.3027	   12.1058	   12.1058	   12.1058
23	  -7326.37	  -79.9375	   5.11167	   5.11167	   5.11167
24	  -7351.07	  -104.638	    -2.643	    -2.643	    -2.643
25	  -7355.38	  -108.955	  -6.66539	  -6.66539	  -6.66539
26	  -7349.43	      -103	  -6.59855	  -6.59855	  -6.59855
27	   -7347.9	  -101.472	  -5.86587	  -5.86587	  -5.86587
28	  -7356.28	  -109.854	  -7.00666	  -7.00666	  -7.00666
29	  -7366.12	  -119.688	   -9.4964	   -9.4964	   -9.4964
30	  -7370.67	  -124.236	  -11.6511	  -11.6511	  -11.6511
31	  -7374.19	  -127.766	  -12.9094	  -12.9094	  -12.9094
32	  -7376.29	  -129.863	  -13.9431	  -13.9431	  -13.9431
33	  -7381.93	  -135.497	   -15.398	   -15.398	   -15.398
34	  -7389.59	  -143.165	  -17.0744	  -17.0744	  -17.0744
35	  -7392.85	  -146.424	  -18.5771	  -18.5771	  -18.5771
36	  -7395.56	  -149.128	   -20.361	   -20.361	   -20.361
37	  -7400.43	  -154.001	  -23.1855	  -23.1855	  -23.1855
38	  -7413.14	  -166.708	  -26.4656	  -26.4656	  -26.4656
39	  -7421.36	  -174.926	  -28.3795	  -28.3795	  -28.3795
40	  -7417.86	  -171.429	  -28.2248	  -28.2248	  -28.2248
41	  -7418.47	  -172.041	   -27.239	   -27.239	   -27.239
